"Linguistic trait","LinguistictraitID","Linguistic components"
"даскал","39525",""
"учител","39524",""
"шестдесети","39523",""
"Stikŭl 1: 24","39522",""
"drùguš","39521",""
"viki","39518",""
"bɛ̀","39519",""
"Stikŭl 1: 23","39520",""
"Stikŭl 1: 22","39517",""
"Stikŭl 1: 21","39516",""
"nèjneka","39515",""
"джамия","39514",""
"Хухла","39513",""
"горе-долу","39512",""
"глоба","39511",""
"занареждам","39510",""
"Stikŭl 1: 20","39509",""
"глобя","39508",""
"подраста","39507",""
"изказвам","39506",""
"mlàdi̥se","39503",""
"stàru̥tu","39504",""
"Stikŭl 1: 19","39502",""
"Димитър","39499",""
"оправям","39498",""
"Stikŭl 1: 18","39497",""
"mlədèžəs","39496",""
"stàrutù","39493",""
"k","39494",""
"zəburìlə","39495",""
"мръкна","39492",""
"нижа","39491",""
"шукер","39490",""
"апартамент","39489",""
"Stikŭl 1: 17","39488",""
"повдигна","39487",""
"немой","39486",""
"охо","39485",""
"тридесети","39484",""
"набор","39483",""
"обаждам","39482",""
"гласувам","39481",""
"изколя","39480",""
"Stikŭl 1: 16","39479",""
"kəkvòto","39478",""
"северен","39477",""
"vɤ","39476",""
"Stikŭl 1: 15","39475",""
"опустея","39474",""
"поям","39473",""
"торбичка","39472",""
"Stikŭl 1: 14","39471",""
"разсад","39470",""
"Stikŭl 1: 13","39469",""
"budəlɛ̀stə","39466",""
"usəmdesè","39467",""
"gudìne","39468",""
"леха","39465",""
"Stikŭl 1: 12","39464",""
"stàroto","39463",""
"сядам","39462",""
"Stikŭl 1: 11","39461",""
"Stikŭl 1: 10","39460",""
"kàete","39459",""
"govòrixme","39454",""
"sedènkof","39455",""
"pìsal","39456",""
"istòria","39457",""
"Stikŭl 1: 9","39458",""
"разцъфвам","39453",""
"Stikŭl 1: 8","39452",""
"əmɨ","39449",""
"vɤ̀zrəsən","39450",""
"məhəlà","39451",""
"садене","39448",""
"Stikŭl 1: 7","39447",""
"običài","39446",""
"Stikŭl 1: 6","39445",""
"напускам","39444",""
"мътен","39443",""
"разклатя","39442",""
"Stikŭl 1: 5","39441",""
"pugovòrim","39440",""
"толко","39439",""
"копалка","39438",""
"копачка","39437",""
"изкопая","39436",""
"полека","39435",""
"благодарен","39434",""
"не.работя","39433",""
"изметна","39432",""
"илач","39431",""
"сера","39430",""
"накисна","39429",""
"сарийка","39428",""
"наквасвам","39427",""
"торче","39426",""
"изкуствен","39425",""
"отрова","39424",""
"тор","39423",""
"химикален","39422",""
"сладък","39421",""
"шурупка","39420",""
"греба","39419",""
"ягорида","39418",""
"грозде","39417",""
"очукам","39416",""
"дробен","39415",""
"глезотия","39414",""
"осветя","39413",""
"помръдна","39412",""
"въх","39411",""
"чедо","39410",""
"мръзна","39409",""
"mrɤ̀znət'e","39408",""
"нокът","39407",""
"бос","39406",""
"простя","39405",""
"калеко","39404",""
"настържа","39403",""
"сюпюргя","39402",""
"метла","39401",""
"изстържа","39400",""
"мед","39399",""
"метлен","39398",""
"мъдър","39397",""
"руски","39396",""
"комунистки","39395",""
"знак","39394",""
"връшляк","39393",""
"изтегля","39392",""
"откача","39391",""
"миничък","39390",""
"дръвник","39389",""
"повой","39388",""
"братче","39387",""
"опирам","39386",""
"бара","39385",""
"големина","39384",""
"среден","39383",""
"кафе","39382",""
"як","39381",""
"оздравея","39380",""
"бърже","39379",""
"преям","39378",""
"закуска","39377",""
"яле","39376",""
"щрапна","39375",""
"лайно","39374",""
"агнешки","39373",""
"пастря","39372",""
"подиграя","39371",""
"полза","39370",""
"скъп","39369",""
"аршин","39368",""
"дако","39367",""
"пастърма","39366",""
"бре","39365",""
"Джоро","39364",""
"рана","39363",""
"пукна","39362",""
"жлъчка","39361",""
"перитонит","39360",""
"жичка","39359",""
"викна","39358",""
"заболя","39357",""
"уплаша","39356",""
"наеднъж","39355",""
"сирота","39354",""
"апандисит","39353",""
"накарам","39352",""
"хартишка","39351",""
"докторица","39350",""
"трак","39349",""
"отвържа","39348",""
"измоля","39347",""
"събличам","39346",""
"дръжка","39345",""
"преглеждам","39344",""
"скала","39343",""
"криво-ляво","39342",""
"заразя","39341",""
"невестица","39340",""
"детенце","39339",""
"бодеж","39338",""
"дълбок","39337",""
"издъхна","39336",""
"премра","39335",""
"изходя","39334",""
"поликлиника","39333",""
"примра","39332",""
"отколкото","39331",""
"запек","39330",""
"изпия","39329",""
"кастронче","39328",""
"изкусам","39327",""
"они","39326",""
"щавляк","39325",""
"чорбица","39324",""
"дамам","39323",""
"преглътна","39322",""
"мехур","39321",""
"гръклян","39320",""
"зина","39319",""
"джам","39318",""
"строша","39317",""
"огледалце","39316",""
"слънчице","39315",""
"пекна","39314",""
"кела","39313",""
"Водици","39312",""
"съживя","39311",""
"вън","39310",""
"пикая","39309",""
"сода","39308",""
"диря","39307",""
"мут","39306",""
"мърдам","39305",""
"уста","39304",""
"коляно","39303",""
"парализирам","39302",""
"глезя","39301",""
"алергичен","39300",""
"Пепи","39299",""
"лекарство","39298",""
"инжекция","39297",""
"Митко","39296",""
"болка","39295",""
"опикая","39294",""
"изтръпна","39293",""
"обеся","39292",""
"сбъркам","39291",""
"удар","39290",""
"легло","39289",""
"басня","39288",""
"думичка","39287",""
"обещая","39286",""
"Welcome to new apprentices, and to a returning veteran","41202",""
"темелия","39285",""
"мартенски","39284",""
"март","39283",""
"насоля","39282",""
"маленки","39281",""
"али","39280",""
"сланинев","39279",""
"Malevo/Asg 3: 10","39278",""
"mugìlətə","39277",""
"Malevo/Asg 3: 9","39276",""
"Malevo/Asg 3: 8","39275",""
"Malevo/Asg 3: 7","39274",""
"p’èši","39269",""
"sfàliš","39270",""
"tòrbətə","39271",""
"ukàč’iš","39272",""
"òrexa","39273",""
"p’èš","39267",""
"Malevo/Asg 3: 6","39268",""
"Malevo/Asg 3: 5","39266",""
"zəminàvəš","39265",""
"kətɤ̀kət","39263",""
"Malevo/Asg 3: 4","39264",""
"Malevo/Asg 3: 3","39262",""
"tr’àbvə","39261",""
"tòrbəta","39260",""
"dokàraa","39259",""
"xa","39258",""
"ìskətə","39256",""
"Stikŭl 1: 4","39257",""
"Stikŭl 1: 3","39255",""
"sòfija","39254",""
"zdravèjte","39253",""
"Stikŭl 1: 2","39252",""
" KP","39251",""
"Stikŭl 1: 1","39250",""
"zdravèj","39249",""
"Malevo/Asg 2: 2","39248",""
"ž’el’ezà","39247",""
"enəkvò","39246",""
"rɤ̀ki","39245",""
"pòslet","39244",""
"dv’è","39243",""
"stərgəlcà","39242",""
": ","39241",""
"Vŭrbina 3: 107","39240",""
"ub’è̝senu","39235",""
"ž’el’ezà","39236",""
"enəkvò#","39237",""
"verùgə","39238",""
"zv’è̝me","39239",""
"hàrkmə","39232",""
"vərìš’","39233",""
"Vŭrbina 3: 106","39234",""
"dɤ̀rvu","39229",""
"klàdenə","39230",""
"bəžɤ̀nə","39231",""
"verùgə","39227",""
"Vŭrbina 3: 105","39228",""
"Vŭrbina 3: 104","39226",""
"vid’èli","39223",""
"p’è̝čkise","39224",""
"n’èkvə","39225",""
"p’è̝čki","39220",""
"d’èznə","39221",""
"Vŭrbina 3: 103","39222",""
"fəv","39215",""
"bəžɛ̀","39216",""
"wògən’en","39217",""
"im’èlu","39218",""
"esəkìvə","39219",""
"Vŭrbina 3: 102","39214",""
"Vŭrbina  c","39213",""
"Vŭrbina 3: 101","39212",""
"sed’èli","39211",""
"n’è̝","39207",""
"d’èləni","39208",""
"enik’yvə","39209",""
"Vŭrbina 3: 100","39210",""
"Vŭrbina 3: 99","39206",""
"dəl’èč’e","39201",""
"plənnɤ̀tə","39202",""
"kòjtu","39203",""
"im’ɛ̀","39204",""
"dukàrvəš’e","39205",""
"Vŭrbina 3: 98","39200",""
"Vŭrbina 3: 97","39199",""
"nəd’èləni","39196",""
"kùp’eni","39197",""
"nem’è","39198",""
"iskupɤ̀t","39190",""
"tem’è̝l’i","39191",""
"grəd’ɤ̀t","39192",""
"kàmen’e","39193",""
"gr’èdi","39194",""
"Vŭrbina 3: 96","39195",""
"Vŭrbina 3: 95","39189",""
"Vŭrbina 3: 94","39188",""
"wùš’i","39186",""
"ž’è̝lezu","39187",""
"Vŭrbina 3: 93","39185",""
"Vŭrbina 3: 92","39184",""
"usùrneš’","39181",""
"fsredè","39182",""
"vərvì","39183",""
"ur’è̝me","39177",""
"ur’è̝me","39178",""
"ur’è̝š’","39179",""
"Vŭrbina 3: 91","39180",""
"Vŭrbina 3: 90","39176",""
"kənu","39171",""
"nuvànəkən","39172",""
"kənu","39173",""
"tràkturən","39174",""
"màl’ku","39175",""
"vərv’ì","39165",""
"pr’əz","39166",""
"zem’ʌ̀nə","39167",""
"nəvràtə","39168",""
"nəvràtə","39169",""
"Vŭrbina 3: 89","39170",""
"Vŭrbina 3: 88","39164",""
"klədɤ̀t","39158",""
"pàl’ešnik","39159",""
"jəgùptene","39160",""
"iskuvàtu","39161",""
"izd’èlənu","39162",""
"esèj","39163",""
"Vŭrbina 3: 87","39157",""
"Vŭrbina 3: 86","39156",""
"kɯ̀rk","39154",""
"istìfe","39155",""
"Vŭrbina 3: 85","39153",""
"Vŭrbina 3: 84","39152",""
"istìfene","39149",""
"kòlkusu","39150",""
"ejsèvə","39151",""
"èsòlkuvə","39148",""
"Vŭrbina 3: 83","39147",""
"Vŭrbina 3: 82","39146",""
"č’etìrese","39142",""
"pràvili","39143",""
"stòrili","39144",""
"wòs’em","39145",""
"utùs","39136",""
"istìf’e","39137",""
"trìjse","39138",""
"istìf’e","39139",""
"ìməli","39140",""
"Vŭrbina 3: 81","39141",""
"pànnə","39135",""
"pànnə#","39134",""
"drùguš","39127",""
"pànnə","39128",""
"drùguš","39129",""
"trɨ̀š","39130",""
"nəràste","39131",""
"filìs","39132",""
"Vŭrbina 3: 80","39133",""
"Vŭrbina 3: 79","39126",""
"uprəš’ìhme","39123",""
"pribràhme","39124",""
"pànnə","39125",""
"kugànu","39117",""
"t’yt’ỳnən","39118",""
"ejsòlkuf","39119",""
"pànnə","39120",""
"spìti","39121",""
"Vŭrbina 3: 78","39122",""
"Vŭrbina 3: 77","39116",""
"Vŭrbina 3: 76","39115",""
"pә̀lnumàlu","39113",""
"dàl’i","39114",""
"dàvəli","39108",""
"n’èməme","39109",""
"fəjdɤ̀","39110",""
"nìkəkvə","39111",""
"Vŭrbina 3: 75","39112",""
"Vŭrbina 3: 74","39107",""
"p’ɤ̀d","39104",""
"dekərə","39105",""
"istìfə","39106",""
"Vŭrbina 3: 73","39103",""
"t’yt’ỳnə","39097",""
"stanɤ̀","39098",""
"v’èke","39099",""
"nà","39100",""
"dàvəli","39101",""
"iz’èt’","39102",""
"Vŭrbina 3: 72","39096",""
"izber’è̝hme","39093",""
"gudɨ̀nə","39094",""
"stànə","39095",""
"ukus’ɛ̀əme","39089",""
"stàne","39090",""
"fel’ìs","39091",""
"Vŭrbina 3: 71","39092",""
"Vŭrbina 3: 70","39088",""
"ukusìš","39087",""
"pɤ̀rvə","39079",""
"rɤ̀kə","39080",""
"tr’ɤ̀tə","39082",""
"č’etvɤ̀rtə","39084",""
"Vŭrbina 3: 69","39086",""
"təgàvə","39077",""
"zber’è̝mə","39078",""
"sìčku","39071",""
"agà","39072",""
"uprəš’ìme","39073",""
"dvàž","39074",""
"prəš’ìme","39075",""
"Vŭrbina 3: 68","39076",""
"Vŭrbina 3: 67","39070",""
"utnes’è̝me","39066",""
"rəsàdəme","39067",""
"š’ilà","39068",""
"dikilìč’e","39069",""
"нахвана","39065",""
"сал","39064",""
"напусна","39063",""
"кимам","39062",""
"льоскам","39061",""
"дрънна","39060",""
"звона","39059",""
"музика","39058",""
"отлагам","39057",""
"окам","39056",""
"орляк","39055",""
"мешина","39054",""
"не.ща","39053",""
"чупренец","39052",""
"настоявам","39051",""
"отложа","39050",""
"управник","39049",""
"традиция","39048",""
"махам","39047",""
"реплянец","39046",""
"сакам","39045",""
"уволня","39044",""
"кмет","39043",""
"Ангел","39042",""
"стачка","39041",""
"шумица","39040",""
"растение","39039",""
"душичина","39038",""
"стрък","39037",""
"тумбак","39036",""
"подробица","39035",""
"хопа","39034",""
"зидам","39033",""
"пружа","39032",""
"Върбово","39031",""
"Чупрене","39030",""
"Петковден","39029",""
"Троица","39028",""
"када","39027",""
"сбор","39026",""
"Протопопинци","39025",""
"Горни Лом","39024",""
"запаля","39023",""
"свещ","39022",""
"Репляна","39021",""
"токмак","39020",""
"качамак","39019",""
"изсипя","39018",""
"притикам","39017",""
"вода","39016",""
"пресявам","39015",""
"наедро","39014",""
"сдробя","39013",""
"грис","39012",""
"клин","39011",""
"сахан","39010",""
"забеля","39009",""
"вай","39008",""
"родопски","39007",""
"кина","39006",""
"jə","39005",""
"ušʌ̀təš","39001",""
"nəpràiš","39002",""
"jàdenetu̥","39003",""
"Malevo/Asg 3: 2","39004",""
"Malevo/Asg 3: 1","39000",""
"очувам","38999",""
"пипам","38998",""
"затворя","38997",""
"повторя","38996",""
"змия","38995",""
"барам","38994",""
"вълк","38993",""
"нападам","38992",""
"мишка","38991",""
"узрявам","38990",""
"дъждовит","38989",""
"късен","38988",""
"запепеля","38987",""
"сорт","38986",""
"сърнишки","38985",""
"цъфтя","38984",""
"двеста","38983",""
"кратък","38982",""
"отмъкна","38981",""
"поставам","38980",""
"иска","38979",""
"изтърся","38978",""
"развържа","38977",""
"омокря","38976",""
"склада","38975",""
"залетя","38974",""
"ut*","38973",""
"жътвар","38972",""
"чекъм","38971",""
"постаджийка","38970",""
"открая","38969",""
"угодя","38968",""
"сила","38967",""
"пъргав","38966",""
"шум","38965",""
"нагаждам","38964",""
"омачкам","38963",""
"гладя","38962",""
"ютия","38961",""
"гладичък","38960",""
"плътен","38959",""
"ръбест","38958",""
"изтъня","38957",""
"хлътна","38956",""
"тежест","38955",""
"тераса","38954",""
"низ","38953",""
"закопчая","38952",""
"изпъна","38951",""
"изсушавам","38950",""
"извалям","38949",""
"оправя","38948",""
"изтупам","38947",""
"ойдисам","38946",""
"шарен","38945",""
"прошаря","38944",""
"чанта","38943",""
"изтупвам","38942",""
"тепавица","38941",""
"Доспат","38940",""
"валявица","38939",""
"уред","38938",""
"отдам","38937",""
"терзия","38936",""
"Трампи","38935",""
"вътък","38934",""
"втвърдя","38933",""
"пареница","38932",""
"ръжен","38931",""
"стиска","38930",""
"подсека","38929",""
"късам","38928",""
"рудан","38927",""
"стягам","38926",""
"навзимам","38925",""
"ашкеле","38924",""
"никъде","38923",""
"бояджийница","38922",""
"отнасям","38921",""
"последство","38920",""
"елха","38919",""
"елхов","38918",""
"сив","38917",""
"цвят","38916",""
"коричка","38915",""
"слез","38914",""
"каменьок","38913",""
"оранжев","38912",""
"лимонтузу","38911",""
"боя","38910",""
"боядисвам","38909",""
"едничък","38908",""
"мазнина","38907",""
"сяра","38906",""
"попарвам","38905",""
"руно","38904",""
"пералня","38903",""
"разработя","38902",""
"отсега","38901",""
"лен","38900",""
"заделя","38899",""
"копан","38898",""
"bè","38897",""
"поотъка","38895",""
"лани","38894",""
"поопреда","38893",""
"залесявам","38892",""
"Юндула","38891",""
"труп","38890",""
"Malevo/Asg 3: 1","38889",""
": 2","38888",""
"rəbòt’e","38887",""
"prudəlž’àvəm","38886",""
"vudenìcə̥ta","38880",""
"àjde","38879",""
"žènim","38878",""
"vəršèm","38877",""
"pribìrəmi","38876",""
"sèjəmi","38875",""
"Kolju Marinovo 1: 8","38874",""
"ur’èmi","38873",""
"vulòvi","38872",""
"nàči","38871",""
"rəbòtim","38870",""
"Kolju Marinovo 1: 7","38869",""
"zeml’edèlie","38868",""
"Kolju Marinovo 1: 6","38867",""
"Kolju Marinovo 1: 5","38866",""
"vìkəmi","38865",""
"Kolju Marinovo 1: 4","38864",""
"pol’ètu","38863",""
"Kolju Marinovo 1: 3","38862",""
"pul’ètu̥","38861",""
"pol’è","38860",""
"Kolju Marinovo 1: 2","38859",""
"Kolju Marinovo 1: 1","38858",""
"čifčilìk","38857",""
"Sŭrnica 4: 25","38856",""
"bəjɛ̀","38851",""
"ìməhme","38852",""
"dɤ̀rveni","38853",""
"sìčku","38854",""
"bèše̥","38855",""
"Sŭrnica 4: 24","38850",""
"Sŭrnica 4: 23","38849",""
"miz’èrni","38846",""
"ràbuti","38847",""
"b’àhə","38848",""
"zəpèniš’","38843",""
"vrətà","38844",""
"Sŭrnica 4: 22","38845",""
"Sŭrnica 4: 21","38842",""
"nɛ̀kəf","38836",""
"kòl","38837",""
"uttùk","38838",""
"n’ɛ̀kəf","38839",""
"zdràf","38840",""
"dir’èk’","38841",""
"Sŭrnica 4: 20","38835",""
"izvɤ̀tre","38830",""
"dɤ̀rv’enə","38831",""
"vərtil’ɛ̀š’kə","38832",""
"nəpràvilu","38833",""
"zətvòriš’","38834",""
"vrətàtə","38824",""
"dɤ̀rvenə","38825",""
"lù","38826",""
"ètu","38827",""
"təkìvə","38828",""
"Sŭrnica 4: 19","38829",""
"Sŭrnica 4: 18","38823",""
"màž’eš’","38820",""
"ž’ivɛ̀e","38821",""
"prež’ivɛ̀və","38822",""
"Sŭrnica 4: 17","38819",""
"Sŭrnica 4: 16","38818",""
"dùhə","38817",""
"Sŭrnica 4: 15","38816",""
"bilàtə","38813",""
"màž’eš’","38814",""
"dùpki","38815",""
"tùk","38809",""
"istàtək","38810",""
"t’èlve","38811",""
"Sŭrnica 4: 14","38812",""
"Mogilica 2: 18","38808",""
"ədè","38806",""
"nəjədè","38807",""
"izvàdət","38802",""
"təkìvə","38803",""
"tukmàci","38804",""
"Mogilica 2: 17","38805",""
"svər'ɔ̀t","38800",""
"kəč'əmàk","38801",""
"issìpət","38797",""
"səhàn","38798",""
"Mogilica 2: 16","38799",""
"Mogilica 2: 15","38796",""
"presɛ̀vət","38793",""
"vudìč'kə","38794",""
"pritìkət","38795",""
"zdrub'ɔ̀t","38788",""
"nəjɔ̀dru","38789",""
"sip'òt","38791",""
"Mogilica 2: 14","38792",""
"Mogilica 2: 13","38787",""
"màslu","38784",""
"tegàj","38785",""
"pràehə","38786",""
"ədnò","38782",""
"Mogilica 2: 12","38783",""
"urìs","38778",""
"svərìš'","38779",""
"nəpràiž","38780",""
"bànicɨ","38781",""
"Mogilica 2: 11","38777",""
"rəzbìješ","38773",""
"č'ètiri","38774",""
"əjcà","38775",""
"grìs","38776",""
"пресъхнал","38772",""
"готвене","38771",""
"пране","38770",""
"триж","38769",""
"каса","38768",""
"насолявам","38767",""
"суджук","38766",""
"даря","38765",""
"нараста","38764",""
"успея","38763",""
"едричък","38762",""
"седмаченце","38761",""
"антерия","38760",""
"шапка","38759",""
"изсъхвам","38758",""
"однема","38757",""
"бизая","38756",""
"седмак","38755",""
"набизавам","38754",""
"Зифейка","38753",""
"задойвам","38752",""
"кърмя","38751",""
"сетя","38750",""
"опаша","38749",""
"пояс","38748",""
"заставам","38747",""
"погребение","38746",""
"тайфа","38745",""
"човечен","38744",""
"израствам","38743",""
"кълна","38742",""
"гроб","38741",""
"съдя","38740",""
"бубал","38739",""
"Мален","38738",""
"бубайко","38737",""
"Трамповски","38736",""
"Митето","38735",""
"Мутето","38734",""
"нализвам","38733",""
"желание","38732",""
"прав","38731",""
"разреша","38730",""
"никогаш","38729",""
"полагам","38728",""
"дар","38727",""
"побратявам","38726",""
"отнеса","38725",""
"поднасям","38724",""
"празен","38723",""
"въпреки","38722",""
"дарувам","38721",""
"посестрима","38719",""
"запиша","38718",""
"днешен","38717",""
"побратим","38716",""
"побратя","38715",""
"служба","38714",""
"лагер","38713",""
"военен","38712",""
"летище","38711",""
"язовир","38710",""
"Орлино","38709",""
"приятел","38708",""
"познат","38707",""
"Златоград","38706",""
"смолянски","38705",""
"Житарово","38704",""
"Хисаря","38703",""
"малчуганче","38702",""
"забравя","38701",""
"освен","38700",""
"премина","38699",""
"читалище","38698",""
"циганин","38697",""
"циганче","38696",""
"момиченце","38695",""
"дудулка","38694",""
"заливам","38693",""
"вузулица","38692",""
"изулица","38691",""
"полетя","38690",""
"пеперуда","38689",""
"летя","38688",""
"натрупам","38687",""
"наскубя","38686",""
"тлъст","38685",""
"бурен","38684",""
"напосле","38683",""
"изтърсак","38682",""
"примерно","38681",""
"вайдудулка","38680",""
"отвъд","38679",""
"обичай","38678",""
"лазаркиня","38677",""
"обядвам","38676",""
"насипя","38675",""
"положа","38674",""
"гостувам","38673",""
"поканя","38672",""
"одеве","38671",""
"булгур","38670",""
"бухам","38669",""
"лазарка","38668",""
"окъпя","38667",""
"бухалка","38666",""
"дере","38665",""
"гривна","38664",""
"кошник","38663",""
"кума","38662",""
"ученик","38661",""
"възраст","38660",""
"цветница","38659",""
"връбница","38658",""
"лазар","38657",""
"Бабинден","38656",""
"паметник","38655",""
"подсетя","38654",""
"продължа","38653",""
"Ивановден","38652",""
"докъм","38651",""
"ведро","38650",""
"бачия","38649",""
"геран","38648",""
"джурило","38647",""
"изцеждам","38646",""
"тенекия","38645",""
"цедя","38644",""
"утая","38643",""
"лопатка","38642",""
"европейски","38641",""
"постоя","38640",""
"Скрежкина","38639",""
"Младенов","38638",""
"калъп","38637",""
"цедилка","38636",""
"прецедя","38635",""
"преработвам","38634",""
"сая","38633",""
"етаж","38632",""
"соба","38631",""
"насип","38630",""
"оддолу","38629",""
"сваля","38628",""
"оджак","38627",""
"наклада","38626",""
"паля","38625",""
"съде","38624",""
"възхождам","38623",""
"възида","38622",""
"разваля","38621",""
"огрея","38620",""
"ловя","38619",""
"čem","38618",""
"sùtrin","38613",""
"stàneš","38614",""
"nəprèž","38615",""
"nəpràviš","38616",""
"Malevo Asg c","38612",""
"Vŭrbina 3: 66","38611",""
"prumʌ̀kneme","38606",""
"sədɨ̀me","38607",""
"tugàvənəkən","38608",""
"nwòsime","38609",""
"səndɤ̀ci","38610",""
"sèeme","38600",""
"l’ɛ̀hi","38601",""
"l’ɛ̀hine","38602",""
"grədɨ̀nənə","38603",""
"nəsèeme","38604",""
"Vŭrbina 3: 65","38605",""
"Vŭrbina 3: 64","38599",""
"Vŭrbina 3: 13","38598",""
"nə#","38597",""
"lèhi","38594",""
"lèhi","38595",""
"Vŭrbina 3: 63","38596",""
"Vŭrbina 3: 62","38593",""
"Vŭrbina 3: 61","38592",""
"dàvət","38590",""
"nəpr’ègəš","38591",""
"ìdəm","38583",""
"pəč’è","38584",""
"pəč’è","38585",""
"š’e","38586",""
"pìškəš","38587",""
"pràiš","38588",""
"Vŭrbina 3: 60","38589",""
"Vŭrbina 3: 59","38582",""
"pìškəm","38578",""
"dukəd’ènu","38579",""
"òmur’ə","38580",""
"nàjəm","38581",""
"mòi","38571",""
"pl’èšti","38572",""
"bilòlu","38573",""
"tugà","38574",""
"ìdə","38575",""
"pìškəm","38576",""
"Vŭrbina 3: 58","38577",""
"Vŭrbina 3: 57","38570",""
"zɨ̀məm","38568",""
"bel’ɤ̀tə","38569",""
"z’iməm","38564",""
"nev’èstə","38565",""
"rudɨ̀lə","38566",""
"Vŭrbina 3: 56","38567",""
"Vŭrbina 3: 55","38563",""
"imèh","38557",""
"dɤ̀šterə","38558",""
"im’èh","38559",""
"ruždènik","38560",""
"ustànəh","38561",""
"səmà","38562",""
"č’è̝tiri","38549",""
"d’è̝kərə","38550",""
"vər","38551",""
"kɤ̀štəsə","38552",""
"ejt’ùvə","38553",""
"sàden","38554",""
"t’ytỳn","38555",""
"Vŭrbina 3: 54","38556",""
"Vŭrbina 3: 53","38548",""
"nəhàkəme","38544",""
"užɛ̀ci","38545",""
"mʌ̀kneme","38546",""
"sədìme","38547",""
"grədɨ̀nətə","38541",""
"im’èš’e","38542",""
"Vŭrbina 3: 52","38543",""
"Vŭrbina 3: 51","38540",""
"enugà","38535",""
"z’ɤ̀meme","38536",""
"ìdeme","38537",""
"nəmɤ̀kneme","38538",""
"əšləmɤ̀","38539",""
"Vŭrbina 3: 50","38534",""
"Vŭrbina 3: 49","38533",""
"jɛ̀m","38531",""
"həzɤ̀r’","38532",""
"Vŭrbina 3: 48","38530",""
"stànəh","38526",""
"tugàə","38527",""
"get’ur’ùn","38528",""
"s’èdəm","38529",""
"tugàvə","38522",""
"stànə","38523",""
"g’ot’ur’ùn","38524",""
"Vŭrbina 3: 47","38525",""
"Vŭrbina 3: 46","38521",""
"ishòdilə","38518",""
"kinànu","38519",""
"tr’èvəlu","38520",""
"dàət","38511",""
"hòd’əm","38512",""
"nəvɤ̀n","38513",""
"vìkət","38514",""
"s’èdi","38515",""
"ejtùkə","38516",""
"Vŭrbina 3: 45","38517",""
"Vŭrbina 3: 44","38510",""
"tvàren’e","38506",""
"t’èšku","38507",""
"zɤ̀ha","38508",""
"hòd’ət","38509",""
"nugìs’e","38503",""
"ut’","38504",""
"hòdeni","38505",""
"rəkìs’e","38498",""
"skɤ̀sə","38499",""
"ž’ìlis’è","38500",""
"vrìt’","38501",""
"Vŭrbina 3: 43","38502",""
"Vŭrbina 3: 42","38497",""
"kàzvəm","38492",""
"səkàt’i","38493",""
"ustànəhme","38494",""
"nògi","38495",""
"rɤ̀ki","38496",""
"Vŭrbina 3: 41","38491",""
"Vŭrbina 3: 40","38490",""
"ustànəli","38488",""
"geter’ùne","38489",""
"d’èt","38486",""
"səkìvə","38487",""
"səč’è̝me","38484",""
"Vŭrbina 3: 39","38485",""
"Vŭrbina 3: 38","38483",""
"mùl’etənə","38480",""
"rəskàrvəme","38481",""
"tvàrime","38482",""
"ž’è̝ncki","38475",""
"mɤ̀ski","38476",""
"ur’è̝mə","38477",""
"sədɨ̀me","38478",""
"Vŭrbina 3: 37","38479",""
"Vŭrbina 3: 36","38474",""
"mɤ̀ž’uve","38470",""
"etàm","38471",""
"ràbutili","38472",""
"bilìli","38473",""
"Vŭrbina 3: 35","38469",""
"Vŭrbina 3: 34","38468",""
"Vŭrbina 3: 33","38467",""
"Vŭrbina 3: 32","38466",""
"t’ut’ùn’evə","38465",""
"mənipòlə","38462",""
"ràbutili","38463",""
"Vŭrbina 3: 31","38464",""
"Vŭrbina 3: 30","38461",""
"mənipòl","38459",""
"xa","38451",""
"nəkvò","38452",""
"pəstàl’i","38453",""
"ɤdnì","38454",""
"n’e","38455",""
"pəstàl’i","38456",""
"č’el’ədìsvəhə","38457",""
"Vŭrbina 3: 29","38458",""
"Vŭrbina 3: 28","38450",""
"Vŭrbina  b","38449",""
"Vŭrbina  b","38448",""
"Vŭrbina 3: 27","38447",""
"kɯ̀ržɯlɯ","38445",""
"plòdif","38446",""
"Vŭrbina 3: 26","38444",""
"Vŭrbina 3: 25","38443",""
"tr’èvə","38442",""
"Vŭrbina 3: 24","38441",""
"Vŭrbina 3: 23","38440",""
"bɤ̀l’hi","38439",""
"dunìsə","38438",""
"Vŭrbina 3: 22","38437",""
"Vŭrbina 3: 21","38436",""
"urətìsvəm","38433",""
"kòtkə","38434",""
"fl’ɨ̀zə","38435",""
"Mogilica 2: 10","38432",""
"Mogilica 2: 9","38431",""
"evèlckine","38429",""
"klìn","38430",""
"bànicata","38425",""
"avèlski","38426",""
"kàzvahte","38427",""
"Mogilica 2: 8","38428",""
"a","38424",""
"kənà","38422",""
"Mogilica 2: 7","38423",""
"kàzvəm","38421",""
"gəlɛ̀mi","38415",""
"səhàni","38416",""
"sìpeš'","38417",""
"bànici","38418",""
"stòriš'","38419",""
"Mogilica 2: 6","38420",""
"Mogilica 2: 5","38414",""
"ədnà","38413",""
"svərìš'","38410",""
"tèndž'erə","38411",""
"zəbɛ̀liš'","38412",""
"stàrutə","38409",""
"kəkò","38407",""
"Mogilica 2: 4","38408",""
"hà","38402",""
"stàrutə","38403",""
"vàj","38404",""
"kàž'əm","38405",""
"stàrutə","38406",""
"дребничък","38401",""
"бубичка","38400",""
"набухам","38399",""
"Mogilica 2: 3","38398",""
